,File name,Word
0,2022 Motels Accounting,Motels
1,2022 Motels Bank Activities,Motels
2,2022 Motels Invoices,Motels
3,Loan Documents_Motels 2022,Motels
4,Motels,Motels
5,S_S_Westerner Motels Budget.xlsx,Motels
