,File,Folder
40,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Nov\Xerox Scan_11292022145207.pdf,motel
41,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S Oct 1,2.pdf",motel
42,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 11,12,13.pdf",motel
43,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 14,15,16,17.pdf",motel
44,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 18,19.pdf",motel
45,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 20.pdf,motel
46,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 21.pdf,motel
47,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 22.pdf,motel
48,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 23.pdf,motel
49,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 24.pdf,motel
50,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 25.pdf,motel
51,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 26,27.pdf",motel
52,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 28,29,30,31.pdf",motel
53,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 3,4,5.pdf",motel
54,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 4 note for Key Deposit.pdf,motel
55,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 6,7.pdf",motel
56,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Oct\S_S_Oct 8,9,10.pdf",motel
57,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Sept\S_S Sep 14,15_Scan Sep 16, 2022 at 3.51 PM-2.pdf",motel
58,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Sept\S_S Sep 16,17,18,19.pdf",motel
59,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Sept\S_S Sep 20,21,22.pdf",motel
